mature_acc	terms
MIMAT0000226-1	hsa-mir-196a-1;hsa-mir-196;hsa-mir-196-1;hsa-mir-196a-2;hsa-mir-196-2
MIMAT0000227-0	hsa-mir-197-3p;hsa-mir-197
MIMAT0000227-1	hsa-mir-197
MIMAT0000228-0	hsa-mir-198
MIMAT0000228-1	hsa-mir-198
MIMAT0000231-0	hsa-mir-199a-5p;hsa-mir-199a
MIMAT0000231-2	hsa-mir-199a-1;hsa-mir-199-s;hsa-mir-199a-2
MIMAT0000232-0	hsa-mir-199a-3p;hsa-mir-199a*
MIMAT0000232-1	hsa-mir-199a-1;hsa-mir-199-s;hsa-mir-199a-2
MIMAT0000241-0	hsa-mir-208a-3p;hsa-mir-208
MIMAT0000241-1	hsa-mir-208a;hsa-mir-208
MIMAT0000242-0	hsa-mir-129-5p;hsa-mir-129
MIMAT0000242-1	hsa-mir-129-1;hsa-mir-129;hsa-mir-129a;hsa-mir-129-2;hsa-mir-129b
MIMAT0000243-0	hsa-mir-148a-3p;hsa-mir-148a
MIMAT0000243-1	hsa-mir-148a;hsa-mir-148
MIMAT0000244-0	hsa-mir-30c-5p;hsa-mir-30c
MIMAT0000244-1	hsa-mir-30c-1
MIMAT0000244-2	hsa-mir-30c-2;hsa-mir-30c
MIMAT0000245-0	hsa-mir-30d-5p;hsa-mir-30d
MIMAT0000245-1	hsa-mir-30d
MIMAT0000250-0	hsa-mir-139-5p;hsa-mir-139
MIMAT0000250-1	hsa-mir-139
MIMAT0000251-0	hsa-mir-147a;hsa-mir-147
MIMAT0000251-1	hsa-mir-147a;hsa-mir-147
MIMAT0000252-0	hsa-mir-7-5p;hsa-mir-7
MIMAT0000252-1	hsa-mir-7-1;hsa-mir-7-2;hsa-mir-7-3
MIMAT0000253-0	hsa-mir-10a-5p;hsa-mir-10a
MIMAT0000253-1	hsa-mir-10a
MIMAT0000254-0	hsa-mir-10b-5p;hsa-mir-10b
MIMAT0000254-1	hsa-mir-10b
MIMAT0000255-0	hsa-mir-34a-5p;hsa-mir-34a
MIMAT0000255-1	hsa-mir-34a;hsa-mir-34
