mature_acc	terms
MIMAT0002804-0	hsa-mir-488-5p;hsa-mir-488;hsa-mir-488*
MIMAT0002804-2	hsa-mir-488
MIMAT0002805-0	hsa-mir-489-3p
MIMAT0002805-1	hsa-mir-489
MIMAT0002806-0	hsa-mir-490-3p;hsa-mir-490
MIMAT0002806-2	hsa-mir-490
MIMAT0002807-0	hsa-mir-491-5p;hsa-mir-491
MIMAT0002807-1	hsa-mir-491
MIMAT0002808-0	hsa-mir-511-5p
MIMAT0002808-2	hsa-mir-511
MIMAT0002809-0	hsa-mir-146b-5p;hsa-mir-146b
MIMAT0002809-1	hsa-mir-146b
MIMAT0002810-0	hsa-mir-202-5p;hsa-mir-202*
MIMAT0002810-1	hsa-mir-202
MIMAT0002811-0	hsa-mir-202-3p;hsa-mir-202
MIMAT0002811-2	hsa-mir-202
MIMAT0002812-0	hsa-mir-492
MIMAT0002812-1	hsa-mir-492
MIMAT0002813-0	hsa-mir-493-5p;hsa-mir-493;hsa-mir-493-5p;hsa-mir-493*
MIMAT0002813-1	hsa-mir-493
MIMAT0002814-0	hsa-mir-432-5p;hsa-mir-432
MIMAT0002814-1	hsa-mir-432
MIMAT0002815-0	hsa-mir-432-3p;hsa-mir-432*
MIMAT0002815-2	hsa-mir-432
MIMAT0002816-0	hsa-mir-494-3p
MIMAT0002816-1	hsa-mir-494
MIMAT0002817-0	hsa-mir-495-3p;hsa-mir-495
MIMAT0002817-1	hsa-mir-495
MIMAT0002818-0	hsa-mir-496
MIMAT0002818-1	hsa-mir-496
MIMAT0002819-0	hsa-mir-193b-3p;hsa-mir-193b
MIMAT0002819-2	hsa-mir-193b
MIMAT0002820-0	hsa-mir-497-5p;hsa-mir-497
MIMAT0002820-1	hsa-mir-497
MIMAT0002821-0	hsa-mir-181d-5p
MIMAT0002821-1	hsa-mir-181d
MIMAT0002822-0	hsa-mir-512-5p
MIMAT0002822-2	hsa-mir-512-1;hsa-mir-512-2
MIMAT0002823-0	hsa-mir-512-3p
MIMAT0002823-1	hsa-mir-512-1;hsa-mir-512-2
MIMAT0002824-0	hsa-mir-498
MIMAT0002824-1	hsa-mir-498
MIMAT0002825-0	hsa-mir-520e
MIMAT0002826-0	hsa-mir-515-5p
MIMAT0002826-1	hsa-mir-515-1;hsa-mir-515-2
MIMAT0002827-0	hsa-mir-515-3p
MIMAT0002827-2	hsa-mir-515-1;hsa-mir-515-2
MIMAT0002828-0	hsa-mir-519e-5p;hsa-mir-519e*
MIMAT0002828-1	hsa-mir-519e
MIMAT0002829-0	hsa-mir-519e-3p;hsa-mir-519e
MIMAT0002830-0	hsa-mir-520f-3p
MIMAT0002830-1	hsa-mir-520f
MIMAT0002831-0	hsa-mir-519c-5p;hsa-mir-526c
MIMAT0002831-1	hsa-mir-519c
MIMAT0002832-0	hsa-mir-519c-3p;hsa-mir-519c
MIMAT0002832-2	hsa-mir-519c
MIMAT0002833-0	hsa-mir-520a-5p;hsa-mir-520a*
MIMAT0002833-2	hsa-mir-520a
MIMAT0002834-0	hsa-mir-520a-3p;hsa-mir-520a
MIMAT0002834-1	hsa-mir-520a
MIMAT0002835-0	hsa-mir-526b-5p;hsa-mir-526b
MIMAT0002835-1	hsa-mir-526b
MIMAT0002836-0	hsa-mir-526b-3p;hsa-mir-526b*
MIMAT0002836-2	hsa-mir-526b
MIMAT0002837-0	hsa-mir-519b-3p;hsa-mir-519b
MIMAT0002837-2	hsa-mir-519b
MIMAT0002838-0	hsa-mir-525-5p;hsa-mir-525
MIMAT0002838-1	hsa-mir-525
MIMAT0002839-0	hsa-mir-525-3p;hsa-mir-525*
MIMAT0002839-2	hsa-mir-525
MIMAT0002840-0	hsa-mir-523-3p;hsa-mir-523
MIMAT0002840-2	hsa-mir-523
MIMAT0002841-0	hsa-mir-518f-5p;hsa-mir-518f*
MIMAT0002841-2	hsa-mir-518f
MIMAT0002842-0	hsa-mir-518f-3p;hsa-mir-518f
MIMAT0002842-1	hsa-mir-518f
MIMAT0002843-0	hsa-mir-520b
MIMAT0002843-1	hsa-mir-520b
MIMAT0002844-0	hsa-mir-518b
MIMAT0002844-1	hsa-mir-518b
MIMAT0002845-0	hsa-mir-526a
MIMAT0002845-1	hsa-mir-526a-1;hsa-mir-526a-2
MIMAT0002846-0	hsa-mir-520c-3p;hsa-mir-520c
MIMAT0002846-1	hsa-mir-520c
MIMAT0002847-0	hsa-mir-518c-5p;hsa-mir-518c*
MIMAT0002847-2	hsa-mir-518c
MIMAT0002848-0	hsa-mir-518c-3p;hsa-mir-518c
MIMAT0002848-1	hsa-mir-518c
MIMAT0002849-0	hsa-mir-524-5p;hsa-mir-524*
MIMAT0002849-1	hsa-mir-524
MIMAT0002850-0	hsa-mir-524-3p;hsa-mir-524
MIMAT0002851-0	hsa-mir-517-5p;hsa-mir-517*
MIMAT0002851-2	hsa-mir-517a;hsa-mir-517b;hsa-mir-517c
MIMAT0002852-0	hsa-mir-517a-3p;hsa-mir-517a
MIMAT0002852-1	hsa-mir-517a
MIMAT0002853-0	hsa-mir-519d-3p
MIMAT0002853-1	hsa-mir-519d
MIMAT0002854-0	hsa-mir-521
MIMAT0002854-1	hsa-mir-521-2;hsa-mir-521-1
MIMAT0002855-0	hsa-mir-520d-5p;hsa-mir-520d*
MIMAT0002855-1	hsa-mir-520d
MIMAT0002856-0	hsa-mir-520d-3p;hsa-mir-520d
MIMAT0002857-0	hsa-mir-517b-3p;hsa-mir-517b
MIMAT0002857-1	hsa-mir-517b
MIMAT0002858-0	hsa-mir-520g-3p
MIMAT0002858-1	hsa-mir-520g
MIMAT0002859-0	hsa-mir-516b-5p;hsa-mir-516-5p;hsa-mir-516b
MIMAT0002859-1	hsa-mir-516b-2;hsa-mir-516-3;hsa-mir-516b-1;hsa-mir-516-4
MIMAT0002860-0	hsa-mir-516b-3p;hsa-mir-516-3p;hsa-mir-516b*;hsa-mir-516a-3p;hsa-mir-516b*;hsa-mir-516a-3p;hsa-mir-516b*
MIMAT0002860-2	hsa-mir-516b-2;hsa-mir-516-3;hsa-mir-516b-1;hsa-mir-516-4
MIMAT0002861-0	hsa-mir-518e-3p;hsa-mir-518e
MIMAT0002861-2	hsa-mir-518e
MIMAT0002862-0	hsa-mir-527
MIMAT0002862-1	hsa-mir-527
MIMAT0002863-0	hsa-mir-518a-3p;hsa-mir-518a
MIMAT0002863-2	hsa-mir-518a-1;hsa-mir-518a-2
MIMAT0002864-0	hsa-mir-518d-3p;hsa-mir-518d
MIMAT0002866-0	hsa-mir-517c-3p;hsa-mir-517c
MIMAT0002866-1	hsa-mir-517c
MIMAT0002867-0	hsa-mir-520h
MIMAT0002867-1	hsa-mir-520h
MIMAT0002868-0	hsa-mir-522-3p;hsa-mir-522
MIMAT0002868-2	hsa-mir-522
MIMAT0002869-0	hsa-mir-519a-3p;hsa-mir-519a
MIMAT0002869-1	hsa-mir-519a-1;hsa-mir-519a-2
MIMAT0002870-0	hsa-mir-499a-5p;hsa-mir-499;hsa-mir-499-5p
MIMAT0002870-1	hsa-mir-499a;hsa-mir-499
MIMAT0002871-0	hsa-mir-500a-3p;hsa-mir-500;hsa-mir-500*;hsa-mir-500a*
MIMAT0002871-1	hsa-mir-500a;hsa-mir-500
MIMAT0002872-0	hsa-mir-501-5p;hsa-mir-501
MIMAT0002872-2	hsa-mir-501
MIMAT0002873-0	hsa-mir-502-5p;hsa-mir-502
MIMAT0002873-2	hsa-mir-502
MIMAT0002874-0	hsa-mir-503-5p;hsa-mir-503
MIMAT0002874-1	hsa-mir-503
MIMAT0002875-0	hsa-mir-504-5p
MIMAT0002875-1	hsa-mir-504
MIMAT0002876-0	hsa-mir-505-3p;hsa-mir-505
MIMAT0002876-2	hsa-mir-505
MIMAT0002877-0	hsa-mir-513a-5p;hsa-mir-513;hsa-mir-513-5p
MIMAT0002877-1	hsa-mir-513a-1;hsa-mir-513-1;hsa-mir-513a-2;hsa-mir-513-2
MIMAT0002878-0	hsa-mir-506-3p;hsa-mir-506
MIMAT0002878-2	hsa-mir-506
MIMAT0002879-0	hsa-mir-507
MIMAT0002879-1	hsa-mir-507
MIMAT0002880-0	hsa-mir-508-3p;hsa-mir-508
MIMAT0002880-1	hsa-mir-508
MIMAT0002881-0	hsa-mir-509-3p;hsa-mir-509
MIMAT0002881-1	hsa-mir-509-1;hsa-mir-509;hsa-mir-509-2;hsa-mir-509-3
MIMAT0002882-0	hsa-mir-510-5p
MIMAT0002882-1	hsa-mir-510
MIMAT0002883-0	hsa-mir-514a-3p;hsa-mir-514
MIMAT0002883-1	hsa-mir-514a-1;hsa-mir-514-1;hsa-mir-514a-2;hsa-mir-514-2;hsa-mir-514a-3;hsa-mir-514-3
MIMAT0002888-0	hsa-mir-532-5p;hsa-mir-532
MIMAT0002888-1	hsa-mir-532
MIMAT0002890-0	hsa-mir-299-5p
MIMAT0002890-1	hsa-mir-299
MIMAT0002891-0	hsa-mir-18a-3p;hsa-mir-18a*
MIMAT0002891-2	hsa-mir-18a;hsa-mir-18
MIMAT0003150-0	hsa-mir-455-5p;hsa-mir-455
MIMAT0003150-2	hsa-mir-455
MIMAT0003161-0	hsa-mir-493-3p;hsa-mir-493-3p;hsa-mir-493
MIMAT0003161-2	hsa-mir-493
MIMAT0003163-0	hsa-mir-539-5p;hsa-mir-539
MIMAT0003163-2	hsa-mir-539
MIMAT0003164-0	hsa-mir-544a;hsa-mir-544
MIMAT0003164-1	hsa-mir-544a;hsa-mir-544
MIMAT0003165-0	hsa-mir-545-3p;hsa-mir-545
MIMAT0003165-1	hsa-mir-545
MIMAT0003180-0	hsa-mir-487b-3p
MIMAT0003180-1	hsa-mir-487b
MIMAT0003214-0	hsa-mir-551a
MIMAT0003214-1	hsa-mir-551a
MIMAT0003215-0	hsa-mir-552-3p
MIMAT0003215-2	hsa-mir-552
MIMAT0003216-0	hsa-mir-553
MIMAT0003217-0	hsa-mir-554
MIMAT0003218-0	hsa-mir-92b-3p;hsa-mir-92b
MIMAT0003218-1	hsa-mir-92b
MIMAT0003219-0	hsa-mir-555
MIMAT0003220-0	hsa-mir-556-5p;hsa-mir-556
MIMAT0003220-2	hsa-mir-556
MIMAT0003221-0	hsa-mir-557
MIMAT0003222-0	hsa-mir-558
MIMAT0003223-0	hsa-mir-559
MIMAT0003223-1	hsa-mir-559
MIMAT0003225-0	hsa-mir-561-3p;hsa-mir-561
MIMAT0003225-2	hsa-mir-561
MIMAT0003226-0	hsa-mir-562
MIMAT0003227-0	hsa-mir-563
MIMAT0003228-0	hsa-mir-564
MIMAT0003230-0	hsa-mir-566
MIMAT0003230-1	hsa-mir-566
MIMAT0003231-0	hsa-mir-567
MIMAT0003232-0	hsa-mir-568
MIMAT0003233-0	hsa-mir-551b-3p;hsa-mir-551b
MIMAT0003233-1	hsa-mir-551b
MIMAT0003234-0	hsa-mir-569
MIMAT0003235-0	hsa-mir-570-3p;hsa-mir-570
MIMAT0003235-1	hsa-mir-570
MIMAT0003236-0	hsa-mir-571
MIMAT0003237-0	hsa-mir-572
MIMAT0003238-0	hsa-mir-573
MIMAT0003238-1	hsa-mir-573
MIMAT0003239-0	hsa-mir-574-3p;hsa-mir-574
MIMAT0003239-2	hsa-mir-574
MIMAT0003240-0	hsa-mir-575
MIMAT0003241-0	hsa-mir-576-5p;hsa-mir-576
MIMAT0003241-1	hsa-mir-576
MIMAT0003242-0	hsa-mir-577
MIMAT0003242-1	hsa-mir-577
MIMAT0003243-0	hsa-mir-578
MIMAT0003244-0	hsa-mir-579-3p
MIMAT0003244-2	hsa-mir-579
MIMAT0003245-0	hsa-mir-580-3p
MIMAT0003245-1	hsa-mir-580
MIMAT0003246-0	hsa-mir-581
MIMAT0003246-1	hsa-mir-581
MIMAT0003247-0	hsa-mir-582-5p;hsa-mir-582
MIMAT0003247-2	hsa-mir-582
MIMAT0003248-0	hsa-mir-583
MIMAT0003249-0	hsa-mir-584-5p;hsa-mir-584
MIMAT0003249-1	hsa-mir-584
MIMAT0003250-0	hsa-mir-585-3p
MIMAT0003250-1	hsa-mir-585
MIMAT0003251-0	hsa-mir-548a-3p;hsa-mir-548a
MIMAT0003251-1	hsa-mir-548a-1;hsa-mir-548a-2;hsa-mir-548a-3
MIMAT0003252-0	hsa-mir-586
MIMAT0003253-0	hsa-mir-587
MIMAT0003254-0	hsa-mir-548b-3p;hsa-mir-548b
MIMAT0003254-1	hsa-mir-548b
MIMAT0003255-0	hsa-mir-588
MIMAT0003256-0	hsa-mir-589-3p;hsa-mir-589;hsa-mir-589*
MIMAT0003256-2	hsa-mir-589
MIMAT0003257-0	hsa-mir-550a-3p;hsa-mir-550;hsa-mir-550*;hsa-mir-550a*
MIMAT0003257-1	hsa-mir-550a-1;hsa-mir-550-1;hsa-mir-550a-2;hsa-mir-550-2;hsa-mir-550a-3
MIMAT0003258-0	hsa-mir-590-5p;hsa-mir-590
MIMAT0003258-1	hsa-mir-590
MIMAT0003259-0	hsa-mir-591
MIMAT0003260-0	hsa-mir-592
MIMAT0003260-1	hsa-mir-592
MIMAT0003261-0	hsa-mir-593-5p;hsa-mir-593;hsa-mir-593*
MIMAT0003263-0	hsa-mir-595
MIMAT0003264-0	hsa-mir-596
MIMAT0003265-0	hsa-mir-597-5p
MIMAT0003265-2	hsa-mir-597
MIMAT0003266-0	hsa-mir-598-3p
MIMAT0003266-1	hsa-mir-598
MIMAT0003267-0	hsa-mir-599
MIMAT0003267-1	hsa-mir-599
MIMAT0003268-0	hsa-mir-600
MIMAT0003268-1	hsa-mir-600
MIMAT0003269-0	hsa-mir-601
MIMAT0003270-0	hsa-mir-602
MIMAT0003271-0	hsa-mir-603
MIMAT0003272-0	hsa-mir-604
MIMAT0003273-0	hsa-mir-605-5p
MIMAT0003273-2	hsa-mir-605
MIMAT0003274-0	hsa-mir-606
MIMAT0003275-0	hsa-mir-607
MIMAT0003276-0	hsa-mir-608
MIMAT0003277-0	hsa-mir-609
MIMAT0003278-0	hsa-mir-610
MIMAT0003278-1	hsa-mir-610
MIMAT0003279-0	hsa-mir-611
MIMAT0003280-0	hsa-mir-612
MIMAT0003280-1	hsa-mir-612
MIMAT0003281-0	hsa-mir-613
MIMAT0003282-0	hsa-mir-614
MIMAT0003282-1	hsa-mir-614
MIMAT0003283-0	hsa-mir-615-3p;hsa-mir-615
MIMAT0003283-1	hsa-mir-615
MIMAT0003284-0	hsa-mir-616-5p;hsa-mir-616;hsa-mir-616*
MIMAT0003284-2	hsa-mir-616
MIMAT0003285-0	hsa-mir-548c-3p;hsa-mir-548c
MIMAT0003285-2	hsa-mir-548c
MIMAT0003286-0	hsa-mir-617
MIMAT0003286-1	hsa-mir-617
MIMAT0003287-0	hsa-mir-618
MIMAT0003287-1	hsa-mir-618
MIMAT0003288-0	hsa-mir-619-3p
MIMAT0003289-0	hsa-mir-620
MIMAT0003290-0	hsa-mir-621
MIMAT0003291-0	hsa-mir-622
MIMAT0003291-1	hsa-mir-622
MIMAT0003292-0	hsa-mir-623
MIMAT0003293-0	hsa-mir-624-5p;hsa-mir-624;hsa-mir-624*
MIMAT0003293-1	hsa-mir-624
MIMAT0003294-0	hsa-mir-625-5p;hsa-mir-625
MIMAT0003294-1	hsa-mir-625
MIMAT0003295-0	hsa-mir-626
MIMAT0003296-0	hsa-mir-627-5p
MIMAT0003296-1	hsa-mir-627
MIMAT0003297-0	hsa-mir-628-3p;hsa-mir-628
MIMAT0003297-2	hsa-mir-628
MIMAT0003298-0	hsa-mir-629-3p;hsa-mir-629;hsa-mir-629*
MIMAT0003298-2	hsa-mir-629
MIMAT0003299-0	hsa-mir-630
MIMAT0003300-0	hsa-mir-631
MIMAT0003301-0	hsa-mir-33b-5p;hsa-mir-33b
MIMAT0003301-1	hsa-mir-33b
MIMAT0003302-0	hsa-mir-632
MIMAT0003302-1	hsa-mir-632
MIMAT0003303-0	hsa-mir-633
MIMAT0003304-0	hsa-mir-634
MIMAT0003305-0	hsa-mir-635
MIMAT0003306-0	hsa-mir-636
MIMAT0003306-1	hsa-mir-636
MIMAT0003307-0	hsa-mir-637
MIMAT0003308-0	hsa-mir-638
MIMAT0003309-0	hsa-mir-639
MIMAT0003309-1	hsa-mir-639
MIMAT0003310-0	hsa-mir-640
MIMAT0003311-0	hsa-mir-641
MIMAT0003311-1	hsa-mir-641
MIMAT0003312-0	hsa-mir-642a-5p;hsa-mir-642;hsa-mir-642a
MIMAT0003312-2	hsa-mir-642a;hsa-mir-642
MIMAT0003313-0	hsa-mir-643
MIMAT0003313-1	hsa-mir-643
MIMAT0003314-0	hsa-mir-644a;hsa-mir-644
MIMAT0003315-0	hsa-mir-645
MIMAT0003316-0	hsa-mir-646
MIMAT0003317-0	hsa-mir-647
MIMAT0003318-0	hsa-mir-648
MIMAT0003319-0	hsa-mir-649
MIMAT0003320-0	hsa-mir-650
MIMAT0003320-1	hsa-mir-650
MIMAT0003321-0	hsa-mir-651-5p
MIMAT0003321-1	hsa-mir-651
MIMAT0003322-0	hsa-mir-652-3p;hsa-mir-652
MIMAT0003322-1	hsa-mir-652
MIMAT0003323-0	hsa-mir-548d-3p;hsa-mir-548d
MIMAT0003323-2	hsa-mir-548d-1;hsa-mir-548d-2
MIMAT0003324-0	hsa-mir-661
MIMAT0003325-0	hsa-mir-662
MIMAT0003325-1	hsa-mir-662
MIMAT0003326-0	hsa-mir-663a;hsa-mir-663
MIMAT0003326-1	hsa-mir-663a;hsa-mir-663
MIMAT0003327-0	hsa-mir-449b-5p;hsa-mir-449b
MIMAT0003327-1	hsa-mir-449b
MIMAT0003328-0	hsa-mir-653-5p
MIMAT0003328-2	hsa-mir-653
MIMAT0003329-0	hsa-mir-411-5p;hsa-mir-411
MIMAT0003329-1	hsa-mir-411
MIMAT0003330-0	hsa-mir-654-5p;hsa-mir-654
MIMAT0003330-2	hsa-mir-654
MIMAT0003331-0	hsa-mir-655-3p
MIMAT0003331-1	hsa-mir-655
MIMAT0003332-0	hsa-mir-656-3p
MIMAT0003332-1	hsa-mir-656
MIMAT0003333-0	hsa-mir-549a;hsa-mir-549
MIMAT0003333-1	hsa-mir-549a;hsa-mir-549
MIMAT0003335-0	hsa-mir-657
MIMAT0003336-0	hsa-mir-658
MIMAT0003336-1	hsa-mir-658
MIMAT0003337-0	hsa-mir-659-3p;hsa-mir-659
MIMAT0003337-2	hsa-mir-659
MIMAT0003338-0	hsa-mir-660-5p;hsa-mir-660
MIMAT0003338-1	hsa-mir-660
MIMAT0003339-0	hsa-mir-421
MIMAT0003339-1	hsa-mir-421
MIMAT0003340-0	hsa-mir-542-5p
MIMAT0003340-2	hsa-mir-542
MIMAT0003385-0	hsa-mir-363-5p;hsa-mir-363*
MIMAT0003385-2	hsa-mir-363
MIMAT0003386-0	hsa-mir-376a-5p;hsa-mir-376a*
MIMAT0003386-2	hsa-mir-376a-1;hsa-mir-376a
MIMAT0003389-0	hsa-mir-542-3p
MIMAT0003389-1	hsa-mir-542
MIMAT0003393-0	hsa-mir-425-5p;hsa-mir-425-5p;hsa-mir-425
MIMAT0003393-1	hsa-mir-425
MIMAT0003879-0	hsa-mir-758-3p;hsa-mir-758
MIMAT0003879-1	hsa-mir-758
MIMAT0003880-0	hsa-mir-671-5p;hsa-mir-671
MIMAT0003880-1	hsa-mir-671
MIMAT0003881-0	hsa-mir-668-3p
MIMAT0003881-1	hsa-mir-668
MIMAT0003882-0	hsa-mir-767-5p
MIMAT0003882-1	hsa-mir-767
MIMAT0003883-0	hsa-mir-767-3p
MIMAT0003883-2	hsa-mir-767
MIMAT0003884-0	hsa-mir-454-5p;hsa-mir-454-5p;hsa-mir-454*
MIMAT0003884-2	hsa-mir-454
MIMAT0003885-0	hsa-mir-454-3p;hsa-mir-454-3p;hsa-mir-454
MIMAT0003885-1	hsa-mir-454
MIMAT0003886-0	hsa-mir-769-5p
MIMAT0003886-1	hsa-mir-769
MIMAT0003887-0	hsa-mir-769-3p
MIMAT0003887-2	hsa-mir-769
MIMAT0003888-0	hsa-mir-766-3p;hsa-mir-766
MIMAT0003888-2	hsa-mir-766
MIMAT0003945-0	hsa-mir-765
MIMAT0003945-1	hsa-mir-765
MIMAT0003948-0	hsa-mir-770-5p
MIMAT0004185-0	hsa-mir-802
MIMAT0004284-0	hsa-mir-675-5p;hsa-mir-675
MIMAT0004284-1	hsa-mir-675
MIMAT0004450-0	hsa-mir-297
MIMAT0004481-0	hsa-let-7a-3p;hsa-let-7a*
MIMAT0004481-2	hsa-let-7a-1;hsa-let-7a-1l;hsa-let-7a-3;hsa-let-7a-3l
MIMAT0004482-0	hsa-let-7b-3p;hsa-let-7b*
MIMAT0004482-2	hsa-let-7b;hsa-let-7bl
MIMAT0004484-0	hsa-let-7d-3p;hsa-let-7d*
MIMAT0004484-2	hsa-let-7d;hsa-let-7dl
MIMAT0004485-0	hsa-let-7e-3p;hsa-let-7e*
MIMAT0004485-2	hsa-let-7e;hsa-let-7el
MIMAT0004486-0	hsa-let-7f-1-3p;hsa-let-7f-1*
MIMAT0004486-2	hsa-let-7f-1;hsa-let-7f-1l
MIMAT0004487-0	hsa-let-7f-2-3p;hsa-let-7f-2*
MIMAT0004487-2	hsa-let-7f-2;hsa-let-7f-2l
MIMAT0004488-0	hsa-mir-15a-3p;hsa-mir-15a*
MIMAT0004488-2	hsa-mir-15a;hsa-mir-15
MIMAT0004489-0	hsa-mir-16-1-3p;hsa-mir-16-1*
MIMAT0004489-2	hsa-mir-16-1;hsa-mir-16-13;hsa-mir-16
MIMAT0004490-0	hsa-mir-19a-5p;hsa-mir-19a*
MIMAT0004490-2	hsa-mir-19a
MIMAT0004491-0	hsa-mir-19b-1-5p;hsa-mir-19b-1*
MIMAT0004491-2	hsa-mir-19b-1
MIMAT0004492-0	hsa-mir-19b-2-5p;hsa-mir-19b-2*
MIMAT0004492-2	hsa-mir-19b-2
MIMAT0004493-0	hsa-mir-20a-3p;hsa-mir-20a*
MIMAT0004493-2	hsa-mir-20a;hsa-mir-20
MIMAT0004494-0	hsa-mir-21-3p;hsa-mir-21*
MIMAT0004494-2	hsa-mir-21
MIMAT0004495-0	hsa-mir-22-5p;hsa-mir-22*
MIMAT0004495-1	hsa-mir-22
MIMAT0004496-0	hsa-mir-23a-5p;hsa-mir-23a*
MIMAT0004496-2	hsa-mir-23a;hsa-mir-23
MIMAT0004497-0	hsa-mir-24-2-5p;hsa-mir-24-2*
MIMAT0004497-2	hsa-mir-24-2
MIMAT0004498-0	hsa-mir-25-5p;hsa-mir-25*
MIMAT0004498-1	hsa-mir-25
MIMAT0004499-0	hsa-mir-26a-1-3p;hsa-mir-26a-1*
MIMAT0004499-2	hsa-mir-26a-1;hsa-mir-26a
MIMAT0004500-0	hsa-mir-26b-3p;hsa-mir-26b*
MIMAT0004500-2	hsa-mir-26b
MIMAT0004501-0	hsa-mir-27a-5p;hsa-mir-27a*
MIMAT0004501-1	hsa-mir-27a;hsa-mir-27
MIMAT0004502-0	hsa-mir-28-3p
MIMAT0004502-1	hsa-mir-28
MIMAT0004503-0	hsa-mir-29a-5p;hsa-mir-29a*
MIMAT0004503-2	hsa-mir-29a;hsa-mir-29
MIMAT0004504-0	hsa-mir-31-3p;hsa-mir-31*
MIMAT0004504-2	hsa-mir-31
MIMAT0004505-0	hsa-mir-32-3p;hsa-mir-32*
MIMAT0004505-2	hsa-mir-32
MIMAT0004506-0	hsa-mir-33a-3p;hsa-mir-33a*
MIMAT0004506-2	hsa-mir-33a;hsa-mir-33
MIMAT0004507-0	hsa-mir-92a-1-5p;hsa-mir-92a-1*
MIMAT0004507-2	hsa-mir-92a-1;hsa-mir-92-13;hsa-mir-92-1
MIMAT0004508-0	hsa-mir-92a-2-5p;hsa-mir-92a-2*
MIMAT0004508-2	hsa-mir-92a-2;hsa-mir-92-x;hsa-mir-92-2
MIMAT0004509-0	hsa-mir-93-3p;hsa-mir-93*
MIMAT0004509-2	hsa-mir-93;hsa-mir-93-7.1;hsa-mir-93-1
MIMAT0004510-0	hsa-mir-96-3p;hsa-mir-96*
MIMAT0004510-2	hsa-mir-96;hsa-mir-96-7
MIMAT0004511-0	hsa-mir-99a-3p;hsa-mir-99a*
MIMAT0004511-2	hsa-mir-99a;hsa-mir-99-21;hsa-mir-99
MIMAT0004512-0	hsa-mir-100-3p;hsa-mir-100*
MIMAT0004512-2	hsa-mir-100;hsa-mir-100-11
MIMAT0004513-0	hsa-mir-101-5p;hsa-mir-101*
MIMAT0004513-2	hsa-mir-101-1;hsa-mir-101-1;hsa-mir-101
MIMAT0004514-0	hsa-mir-29b-1-5p;hsa-mir-29b-1*
MIMAT0004514-2	hsa-mir-29b-1;hsa-mir-102-7.1;hsa-mir-102-2;hsa-mir-29b-2
MIMAT0004515-0	hsa-mir-29b-2-5p;hsa-mir-29b-2*
MIMAT0004515-2	hsa-mir-29b-2;hsa-mir-102-1;hsa-mir-29b-1
MIMAT0004516-0	hsa-mir-105-3p;hsa-mir-105*
MIMAT0004516-2	hsa-mir-105-1;hsa-mir-105-x.1;hsa-mir-105-2;hsa-mir-105-x.2
MIMAT0004517-0	hsa-mir-106a-3p;hsa-mir-106a*
MIMAT0004517-2	hsa-mir-106a;hsa-mir-106-x;hsa-mir-106
MIMAT0004518-0	hsa-mir-16-2-3p;hsa-mir-16-2*
MIMAT0004518-2	hsa-mir-16-2;hsa-mir-16-3
MIMAT0004543-0	hsa-mir-192-3p;hsa-mir-192*
MIMAT0004543-2	hsa-mir-192
MIMAT0004548-0	hsa-mir-129-1-3p;hsa-mir-129*
MIMAT0004548-2	hsa-mir-129-1;hsa-mir-129;hsa-mir-129a
MIMAT0004549-0	hsa-mir-148a-5p;hsa-mir-148a*
MIMAT0004549-2	hsa-mir-148a;hsa-mir-148
MIMAT0004550-0	hsa-mir-30c-2-3p;hsa-mir-30c-2*
MIMAT0004550-1	hsa-mir-30c-2;hsa-mir-30c
MIMAT0004551-0	hsa-mir-30d-3p;hsa-mir-30d*
MIMAT0004551-2	hsa-mir-30d
MIMAT0004552-0	hsa-mir-139-3p
MIMAT0004552-2	hsa-mir-139
MIMAT0004553-0	hsa-mir-7-1-3p;hsa-mir-7-1*
MIMAT0004553-2	hsa-mir-7-1
MIMAT0004554-0	hsa-mir-7-2-3p;hsa-mir-7-2*
MIMAT0004554-2	hsa-mir-7-2
MIMAT0004555-0	hsa-mir-10a-3p;hsa-mir-10a*
MIMAT0004555-2	hsa-mir-10a
MIMAT0004556-0	hsa-mir-10b-3p;hsa-mir-10b*
MIMAT0004556-2	hsa-mir-10b
MIMAT0004557-0	hsa-mir-34a-3p;hsa-mir-34a*
MIMAT0004557-2	hsa-mir-34a;hsa-mir-34
MIMAT0004558-0	hsa-mir-181a-2-3p;hsa-mir-181a-2*
MIMAT0004558-2	hsa-mir-181a-2;hsa-mir-181a
MIMAT0004559-0	hsa-mir-181c-3p;hsa-mir-181c*
MIMAT0004559-2	hsa-mir-181c
MIMAT0004560-0	hsa-mir-183-3p;hsa-mir-183*
MIMAT0004560-2	hsa-mir-183
MIMAT0004561-0	hsa-mir-187-5p;hsa-mir-187*
MIMAT0004561-2	hsa-mir-187
MIMAT0004562-0	hsa-mir-196a-3p;hsa-mir-196a*
MIMAT0004562-2	hsa-mir-196a-2;hsa-mir-196-2
MIMAT0004563-0	hsa-mir-199b-3p
MIMAT0004563-1	hsa-mir-199b
MIMAT0004564-0	hsa-mir-214-5p;hsa-mir-214*
MIMAT0004564-2	hsa-mir-214
MIMAT0004565-0	hsa-mir-218-1-3p;hsa-mir-218-1*
MIMAT0004565-2	hsa-mir-218-1
MIMAT0004566-0	hsa-mir-218-2-3p;hsa-mir-218-2*
MIMAT0004566-2	hsa-mir-218-2
MIMAT0004567-0	hsa-mir-219a-1-3p
